"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/09/2026,13:20,6816.75,6819.55,6815.08,6817.49,8837,10753,19590.00
04/09/2026,13:25,6817.58,6818.60,6811.68,6813.11,11712,10955,22667.00
04/09/2026,13:30,6813.08,6815.12,6810.78,6813.10,11832,9912,21744.00
04/09/2026,13:35,6813.08,6814.27,6809.40,6810.76,8788,10308,19096.00
04/09/2026,13:40,6810.60,6817.32,6810.21,6816.82,10284,8753,19037.00
04/09/2026,13:45,6816.85,6817.83,6812.82,6813.94,10178,10869,21047.00
04/09/2026,13:50,6813.95,6816.28,6813.57,6815.86,10522,9592,20114.00
04/09/2026,13:55,6815.86,6816.54,6812.34,6814.54,9639,9956,19595.00
04/09/2026,14:00,6814.66,6817.17,6814.66,6815.82,10394,11474,21868.00
04/09/2026,14:05,6815.80,6821.39,6814.26,6820.37,14099,13527,27626.00
04/09/2026,14:10,6820.43,6824.61,6818.51,6824.61,14132,9708,23840.00
04/09/2026,14:15,6824.62,6826.39,6824.00,6824.53,13213,13896,27109.00
04/09/2026,14:20,6824.53,6825.96,6820.72,6821.42,14655,12962,27617.00
04/09/2026,14:25,6821.38,6823.10,6820.57,6823.10,16232,12727,28959.00
04/09/2026,14:30,6823.03,6824.96,6822.60,6823.15,20964,11516,32480.00
04/09/2026,14:35,6823.30,6830.51,6823.13,6826.99,20952,16134,37086.00
04/09/2026,14:40,6826.93,6829.40,6825.50,6827.18,19645,18185,37830.00
04/09/2026,14:45,6827.09,6828.36,6824.07,6827.95,18636,20827,39463.00
04/09/2026,14:50,6827.88,6829.34,6825.31,6825.92,23694,25946,49640.00
04/09/2026,14:55,6825.93,6830.36,6825.93,6829.77,35595,39528,75123.00
04/09/2026,15:00,6829.65,6829.65,6823.27,6824.64,719124,106093,825217.00
04/10/2026,08:35,6839.24,6845.77,6832.84,6833.50,98245,37985,136230.00
04/10/2026,08:40,6833.33,6835.77,6828.33,6831.15,24030,27877,51907.00
04/10/2026,08:45,6831.22,6834.66,6829.36,6832.94,22002,21530,43532.00
04/10/2026,08:50,6833.05,6834.60,6826.60,6828.75,27486,28635,56121.00
04/10/2026,08:55,6828.84,6832.15,6824.90,6831.68,22468,21866,44334.00
04/10/2026,09:00,6831.54,6833.07,6829.30,6832.80,19993,17975,37968.00
04/10/2026,09:05,6832.77,6832.77,6823.46,6829.24,17506,20799,38305.00
04/10/2026,09:10,6828.94,6831.18,6826.79,6829.18,15380,16790,32170.00
04/10/2026,09:15,6828.93,6836.46,6824.69,6836.13,19977,16383,36360.00
04/10/2026,09:20,6836.20,6837.72,6833.42,6837.72,16251,14576,30827.00
04/10/2026,09:25,6837.47,6838.26,6835.55,6838.25,14728,12778,27506.00
04/10/2026,09:30,6838.25,6839.82,6836.71,6839.67,14410,12852,27262.00
04/10/2026,09:35,6839.57,6843.43,6839.08,6839.21,20437,21031,41468.00
04/10/2026,09:40,6839.24,6840.57,6837.16,6837.53,19925,18227,38152.00
04/10/2026,09:45,6837.44,6838.89,6829.38,6832.57,14958,17615,32573.00
