"Date","Time","Open","High","Low","Close","Up","Down"
05/22/2026,11:00,7494.09,7494.82,7492.76,7494.17,8195,8770
05/22/2026,11:05,7494.22,7494.96,7490.53,7493.47,9247,9685
05/22/2026,11:10,7493.49,7494.12,7490.85,7491.35,10780,8795
05/22/2026,11:15,7491.43,7493.30,7489.92,7491.97,8954,8515
05/22/2026,11:20,7491.84,7491.84,7487.09,7487.24,8320,9069
05/22/2026,11:25,7487.20,7490.75,7486.82,7487.65,8491,9868
05/22/2026,11:30,7487.63,7491.03,7487.01,7490.99,11909,8610
05/22/2026,11:35,7491.08,7493.99,7488.13,7488.27,9289,10131
05/22/2026,11:40,7488.04,7490.91,7486.71,7488.03,8489,8534
05/22/2026,11:45,7488.16,7490.23,7487.20,7488.22,9009,7345
05/22/2026,11:50,7488.47,7492.89,7488.36,7489.18,8285,7702
05/22/2026,11:55,7489.18,7492.49,7488.80,7492.41,8786,6937
05/22/2026,12:00,7492.33,7492.49,7489.28,7490.36,8548,8726
05/22/2026,12:05,7490.37,7495.29,7490.37,7495.21,9309,7466
05/22/2026,12:10,7495.20,7496.18,7493.79,7494.94,9499,8575
05/22/2026,12:15,7494.90,7496.22,7493.85,7494.32,10762,8787
05/22/2026,12:20,7494.25,7495.79,7489.46,7489.46,7482,8921
05/22/2026,12:25,7486.64,7491.93,7485.53,7490.81,8898,11032
05/22/2026,12:30,7491.40,7505.27,7490.88,7505.22,18762,12002
05/22/2026,12:35,7505.30,7506.32,7496.70,7497.01,8963,12732
05/22/2026,12:40,7496.88,7500.60,7495.84,7500.00,11246,8627
05/22/2026,12:45,7500.08,7500.83,7497.69,7497.72,8693,9320
05/22/2026,12:50,7497.70,7498.13,7495.20,7495.55,10820,8430
05/22/2026,12:55,7495.44,7495.72,7489.46,7490.82,9058,10409
05/22/2026,13:00,7490.80,7493.50,7490.24,7490.83,9069,9389
05/22/2026,13:05,7490.99,7493.97,7487.22,7489.20,15605,10325
05/22/2026,13:10,7489.21,7492.09,7488.68,7491.35,8789,7687
05/22/2026,13:15,7491.32,7492.26,7488.47,7489.74,8206,8025
05/22/2026,13:20,7489.83,7491.78,7487.61,7490.50,9476,8073
05/22/2026,13:25,7490.44,7492.98,7490.04,7492.84,9657,9359
05/22/2026,13:30,7492.91,7493.09,7489.67,7490.74,7193,10402
05/22/2026,13:35,7490.60,7491.53,7488.85,7490.11,8595,9015
05/22/2026,13:40,7490.09,7492.36,7486.17,7489.82,9497,11934
05/22/2026,13:45,7489.72,7492.46,7489.24,7491.07,7946,8610
05/22/2026,13:50,7491.19,7492.28,7487.90,7488.95,9877,8590
05/22/2026,13:55,7488.90,7492.60,7488.31,7491.68,8789,8792
05/22/2026,14:00,7491.72,7491.77,7488.86,7489.18,7966,10391
05/22/2026,14:05,7489.19,7490.11,7480.30,7483.08,17113,14135
05/22/2026,14:10,7482.96,7483.98,7479.67,7482.72,12321,10359
05/22/2026,14:15,7482.69,7484.32,7479.88,7481.21,12377,10492
05/22/2026,14:20,7481.22,7482.12,7478.55,7481.60,12915,12260
05/22/2026,14:25,7481.37,7481.37,7477.49,7479.02,12853,12075
05/22/2026,14:30,7478.93,7479.47,7472.89,7473.25,14255,15573
05/22/2026,14:35,7473.26,7476.70,7470.44,7475.83,16107,15089
05/22/2026,14:40,7475.84,7478.64,7474.78,7476.88,20381,16390
05/22/2026,14:45,7476.73,7477.14,7470.79,7474.02,16898,17841
05/22/2026,14:50,7473.87,7473.87,7467.59,7471.78,20959,23906
05/22/2026,14:55,7471.78,7474.54,7468.04,7471.32,30133,36083
05/22/2026,15:00,7471.29,7479.33,7471.29,7473.45,294566,547941
05/26/2026,08:35,7511.79,7519.93,7511.08,7511.54,45422,160239
05/26/2026,08:40,7512.00,7517.70,7508.39,7513.96,26897,30816
05/26/2026,08:45,7513.78,7524.49,7513.67,7523.53,25361,22738
05/26/2026,08:50,7523.82,7529.04,7523.82,7527.64,25992,26285
05/26/2026,08:55,7527.79,7528.40,7514.83,7519.28,21444,23744
05/26/2026,09:00,7519.43,7525.64,7519.22,7524.97,21867,17979
05/26/2026,09:05,7526.79,7529.28,7523.51,7529.28,24407,22036
05/26/2026,09:10,7529.36,7532.34,7528.39,7530.29,18657,20947
05/26/2026,09:15,7530.68,7532.91,7528.90,7532.78,19429,19813
05/26/2026,09:20,7532.67,7534.45,7530.23,7533.60,17748,18696
05/26/2026,09:25,7533.73,7535.93,7532.49,7533.43,18127,16079
05/26/2026,09:30,7533.61,7536.61,7530.71,7533.51,16028,16879
05/26/2026,09:35,7533.45,7535.44,7531.50,7531.74,17242,22573
05/26/2026,09:40,7531.96,7538.91,7531.91,7535.48,16655,14693
05/26/2026,09:45,7535.32,7539.09,7534.86,7538.43,17885,14026
05/26/2026,09:50,7538.35,7538.67,7535.36,7535.48,14785,16155
05/26/2026,09:55,7535.49,7538.09,7532.50,7533.31,14752,13410
05/26/2026,10:00,7533.43,7533.96,7529.59,7531.50,16752,13504
05/26/2026,10:05,7531.65,7532.69,7524.84,7525.21,13531,14144
05/26/2026,10:10,7525.42,7527.07,7521.25,7527.07,15214,14603
05/26/2026,10:15,7527.02,7527.48,7522.89,7524.17,13348,12375
05/26/2026,10:20,7524.16,7524.16,7518.92,7521.96,14285,13492
05/26/2026,10:25,7521.88,7522.35,7517.98,7519.53,12813,11875
05/26/2026,10:30,7519.89,7522.48,7515.45,7516.23,12008,15026
05/26/2026,10:35,7516.15,7517.92,7513.72,7516.30,14679,11493
05/26/2026,10:40,7516.30,7517.53,7509.97,7516.12,13138,10471
05/26/2026,10:45,7516.05,7516.20,7511.06,7511.51,11243,12581
05/26/2026,10:50,7511.63,7512.22,7507.60,7508.57,11742,8371
05/26/2026,10:55,7508.69,7509.50,7502.10,7503.71,8975,12938
05/26/2026,11:00,7503.49,7507.21,7501.10,7506.42,11546,10900
05/26/2026,11:05,7506.87,7512.41,7506.63,7510.01,11299,10164
05/26/2026,11:10,7510.03,7511.67,7505.44,7506.18,9186,9495
05/26/2026,11:15,7506.52,7508.64,7503.58,7506.13,10497,9073
05/26/2026,11:20,7506.43,7511.21,7505.46,7510.96,11167,8970
05/26/2026,11:25,7511.05,7512.32,7509.03,7511.96,8806,9801
05/26/2026,11:30,7512.28,7515.45,7511.61,7515.30,10729,10687
05/26/2026,11:35,7515.22,7517.20,7515.03,7516.73,9925,10530
05/26/2026,11:40,7516.77,7517.58,7514.39,7514.39,7940,8637
05/26/2026,11:45,7514.45,7514.45,7509.58,7509.73,7962,12581
05/26/2026,11:50,7509.75,7511.94,7506.62,7506.67,8384,9397
05/26/2026,11:55,7506.50,7509.85,7506.50,7509.81,11788,7969
05/26/2026,12:00,7509.68,7510.21,7507.27,7507.56,9117,9403
05/26/2026,12:05,7507.52,7512.13,7506.62,7509.04,9975,9186
05/26/2026,12:10,7508.96,7510.39,7507.13,7508.43,12079,9060
05/26/2026,12:15,7508.46,7511.17,7507.69,7510.53,8791,7839
05/26/2026,12:20,7510.42,7510.70,7505.67,7506.06,7788,8404
05/26/2026,12:25,7506.00,7508.03,7503.68,7504.56,8456,9388
05/26/2026,12:30,7504.70,7505.65,7502.98,7504.23,8388,9597
05/26/2026,12:35,7504.16,7508.33,7502.55,7508.33,9707,8022
05/26/2026,12:40,7508.27,7508.92,7505.80,7506.05,7604,10309
05/26/2026,12:45,7505.91,7507.37,7503.80,7506.41,9206,7918
05/26/2026,12:50,7506.35,7510.03,7506.30,7509.61,10281,8622
05/26/2026,12:55,7509.67,7510.81,7508.41,7508.41,8233,8419
05/26/2026,13:00,7508.37,7508.41,7505.14,7507.71,10170,8459
05/26/2026,13:05,7507.55,7509.42,7505.32,7509.10,10438,11279
05/26/2026,13:10,7509.05,7511.63,7508.83,7511.50,10359,8427
05/26/2026,13:15,7511.60,7514.31,7511.59,7513.34,9730,8036
05/26/2026,13:20,7513.45,7516.95,7513.45,7516.89,11343,8137
05/26/2026,13:25,7516.98,7517.94,7515.30,7516.33,9353,9150
05/26/2026,13:30,7516.35,7517.43,7513.81,7514.25,9000,9971
05/26/2026,13:35,7514.23,7517.58,7514.21,7517.32,10985,8292
05/26/2026,13:40,7517.27,7517.42,7514.23,7515.03,9522,9265
05/26/2026,13:45,7514.99,7515.03,7511.67,7511.71,8372,9401
05/26/2026,13:50,7511.66,7513.10,7510.88,7511.28,8592,10261
05/26/2026,13:55,7511.12,7513.74,7510.13,7511.82,10694,10710
05/26/2026,14:00,7511.80,7512.44,7507.81,7508.29,9174,13897
05/26/2026,14:05,7508.28,7510.37,7506.39,7509.45,13494,10693
05/26/2026,14:10,7509.44,7512.46,7508.36,7512.09,14160,9955
05/26/2026,14:15,7512.10,7512.25,7509.33,7509.91,12832,12859
05/26/2026,14:20,7509.95,7513.02,7509.95,7512.36,14543,12014
05/26/2026,14:25,7512.36,7513.66,7511.11,7512.66,13398,12053
05/26/2026,14:30,7512.87,7513.49,7511.64,7513.15,16282,13067
05/26/2026,14:35,7513.09,7517.30,7513.09,7516.95,17299,13851
05/26/2026,14:40,7517.04,7519.93,7516.50,7519.86,18203,12364
05/26/2026,14:45,7519.90,7522.85,7519.28,7522.61,21326,15860
05/26/2026,14:50,7522.64,7524.54,7521.45,7522.65,22110,21114
05/26/2026,14:55,7522.47,7525.99,7521.61,7523.59,33220,38006
05/26/2026,15:00,7523.62,7523.62,7517.66,7519.09,122603,922710
05/27/2026,08:35,7526.01,7530.59,7521.01,7524.60,53618,143090
05/27/2026,08:40,7524.58,7527.31,7518.87,7521.23,36558,34974
05/27/2026,08:45,7520.42,7521.29,7507.83,7510.77,29161,33496
05/27/2026,08:50,7509.97,7516.40,7508.59,7511.94,26543,33010
05/27/2026,08:55,7511.81,7520.95,7511.81,7517.99,26524,22912
05/27/2026,09:00,7518.16,7522.94,7515.10,7521.20,21924,24026
05/27/2026,09:05,7521.46,7530.59,7518.94,7529.74,27883,18343
05/27/2026,09:10,7529.82,7530.41,7518.37,7523.24,19422,21758
05/27/2026,09:15,7523.12,7526.05,7519.49,7525.07,20245,17187
05/27/2026,09:20,7524.99,7530.72,7523.40,7529.30,21923,18044
05/27/2026,09:25,7529.64,7530.60,7518.03,7518.03,18284,24158
05/27/2026,09:30,7518.05,7518.61,7511.86,7516.78,20242,23454
05/27/2026,09:35,7516.68,7522.85,7510.90,7519.94,24734,17328
05/27/2026,09:40,7520.00,7526.45,7518.31,7526.45,20514,15404
05/27/2026,09:45,7526.49,7527.33,7519.11,7521.03,16333,17368
05/27/2026,09:50,7521.09,7522.40,7517.55,7517.55,16023,15427
05/27/2026,09:55,7517.24,7520.94,7517.00,7519.90,15077,14109
05/27/2026,10:00,7519.77,7519.77,7511.50,7513.38,13040,18017
05/27/2026,10:05,7513.35,7517.78,7510.94,7514.57,14887,13691
05/27/2026,10:10,7514.61,7518.66,7512.61,7517.22,16767,13667
05/27/2026,10:15,7517.10,7518.59,7514.77,7515.19,14857,14266
05/27/2026,10:20,7515.13,7515.13,7508.31,7508.43,11089,18571
05/27/2026,10:25,7508.38,7511.62,7506.24,7511.08,13976,13223
05/27/2026,10:30,7511.16,7512.33,7509.33,7511.81,12376,13097
05/27/2026,10:35,7512.01,7518.65,7512.01,7515.50,12391,13284
05/27/2026,10:40,7515.39,7516.47,7507.66,7507.89,11874,14144
05/27/2026,10:45,7507.87,7511.43,7503.21,7503.71,12029,13175
05/27/2026,10:50,7503.69,7507.51,7500.86,7503.56,10544,12500
05/27/2026,10:55,7503.70,7509.52,7502.46,7507.39,11510,11401
05/27/2026,11:00,7507.38,7509.05,7504.70,7507.72,11679,9497
05/27/2026,11:05,7507.36,7510.06,7503.43,7504.96,11428,11927
05/27/2026,11:10,7504.86,7511.40,7504.68,7511.40,12648,8026
05/27/2026,11:15,7511.70,7514.15,7511.18,7512.89,11466,10773
05/27/2026,11:20,7512.85,7515.20,7510.68,7511.19,11050,10081
05/27/2026,11:25,7511.23,7514.85,7510.96,7514.04,10631,10016
05/27/2026,11:30,7514.01,7514.30,7511.93,7514.18,10380,8519
05/27/2026,11:35,7514.04,7516.89,7512.18,7515.19,10150,9052
05/27/2026,11:40,7515.12,7518.70,7514.97,7518.07,16053,14101
05/27/2026,11:45,7517.93,7521.34,7517.93,7520.06,11979,11585
05/27/2026,11:50,7520.10,7522.94,7519.00,7522.85,13258,10936
05/27/2026,11:55,7522.83,7523.31,7517.59,7517.87,10030,9212
05/27/2026,12:00,7517.95,7518.17,7513.23,7514.80,6645,8127
05/27/2026,12:05,7514.80,7515.51,7512.50,7512.64,10668,9853
05/27/2026,12:10,7512.59,7513.69,7499.72,7499.81,8016,12222
05/27/2026,12:15,7499.99,7505.37,7499.99,7505.26,10773,10495
05/27/2026,12:20,7505.48,7511.00,7504.73,7510.16,10523,7911
05/27/2026,12:25,7510.14,7511.51,7509.61,7511.23,9290,9327
05/27/2026,12:30,7511.19,7512.13,7509.00,7509.09,8437,8034
05/27/2026,12:35,7509.12,7512.97,7509.12,7512.65,10965,9003
05/27/2026,12:40,7512.65,7516.34,7512.26,7513.71,8712,9844
05/27/2026,12:45,7513.61,7514.09,7510.18,7510.68,8364,8884
