Date,Time,Symbol,Source (Live/Historical),Market (Pre-Market/In-Market),is_premarket (DB),source (DB)
2026-05-26,13:30,SPX,Historical,In-Market,0,histgex
2026-05-26,14:00,SPX,Historical,In-Market,0,histgex
2026-05-26,14:30,SPX,Historical,In-Market,0,histgex
2026-05-26,15:00,SPX,Historical,In-Market,0,histgex
2026-05-26,15:30,SPX,Historical,In-Market,0,histgex
2026-05-22,09:30,SPX,Historical,In-Market,0,histgex
2026-05-22,10:00,SPX,Historical,In-Market,0,histgex
2026-05-22,10:30,SPX,Historical,In-Market,0,histgex
2026-05-22,11:00,SPX,Historical,In-Market,0,histgex
2026-05-22,11:30,SPX,Historical,In-Market,0,histgex
2026-05-22,12:00,SPX,Historical,In-Market,0,histgex
2026-05-22,12:30,SPX,Historical,In-Market,0,histgex
2026-05-22,13:00,SPX,Historical,In-Market,0,histgex
2026-05-22,13:30,SPX,Historical,In-Market,0,histgex
2026-05-22,14:00,SPX,Historical,In-Market,0,histgex
2026-05-22,14:30,SPX,Historical,In-Market,0,histgex
2026-05-22,15:00,SPX,Historical,In-Market,0,histgex
2026-05-22,15:30,SPX,Historical,In-Market,0,histgex
2026-05-21,09:30,SPX,Historical,In-Market,0,histgex
2026-05-21,10:00,SPX,Historical,In-Market,0,histgex
2026-05-21,10:30,SPX,Historical,In-Market,0,histgex
2026-05-21,11:00,SPX,Historical,In-Market,0,histgex
2026-05-21,11:30,SPX,Historical,In-Market,0,histgex
2026-05-21,12:00,SPX,Historical,In-Market,0,histgex
2026-05-21,12:30,SPX,Historical,In-Market,0,histgex
2026-05-21,13:00,SPX,Historical,In-Market,0,histgex
2026-05-21,13:30,SPX,Historical,In-Market,0,histgex
2026-05-21,14:00,SPX,Historical,In-Market,0,histgex
2026-05-21,14:30,SPX,Historical,In-Market,0,histgex
2026-05-21,15:00,SPX,Historical,In-Market,0,histgex
2026-05-21,15:30,SPX,Historical,In-Market,0,histgex
2026-05-20,09:30,SPX,Historical,In-Market,0,histgex
2026-05-20,10:00,SPX,Historical,In-Market,0,histgex
2026-05-20,10:30,SPX,Historical,In-Market,0,histgex
2026-05-20,11:00,SPX,Historical,In-Market,0,histgex
2026-05-20,11:30,SPX,Historical,In-Market,0,histgex
2026-05-20,12:00,SPX,Historical,In-Market,0,histgex
2026-05-20,12:30,SPX,Historical,In-Market,0,histgex
